interaction_id,platform,timestamp,user_handle,user_followers,text_content
INS-0001,Instagram,2025-11-28 17:35:41,@GalleryGazer194,8500,I'd love to commission a piece in this style.
INS-0002,Instagram,2025-11-20 07:41:34,@CollectorJane454,2905,What is the price for a commission?
INS-0003,Instagram,2025-11-23 06:59:55,@CuratorMike630,14889,Do you sell prints of this artwork?
INS-0004,Instagram,2025-11-05 15:13:26,@ModernArtFan104,12516,I'd like to buy this painting for my collection.
INS-0005,Instagram,2025-11-01 11:50:19,@DesignGeek943,7734,I'd like to buy this painting for my collection.
INS-0006,Instagram,2025-11-12 16:13:10,@CollectorJane229,10282,"I'm a gallery curator, would love to talk."
INS-0007,Instagram,2025-11-10 06:39:37,@ModernArtFan403,2420,I'm a collector and really interested in this piece.
INS-0008,Instagram,2025-11-27 00:12:58,@CuratorMike276,5006,"We run an online art gallery, can we feature your work?"
INS-0009,Instagram,2025-11-02 06:19:22,@GalleryOwnerTX702,3155,What is the price for a commission?
INS-0010,Instagram,2025-11-26 10:57:17,@ColorChaser221,7953,"We run an online art gallery, can we feature your work?"
INS-0011,Instagram,2025-11-25 02:26:40,@PainterFan525,8271,I'd love to commission a piece in this style.
INS-0012,Instagram,2025-11-26 21:53:35,@ColorChaser740,10826,What is the price for a commission?
INS-0013,Instagram,2025-11-18 07:00:12,@CollectorJane327,151,Beautiful piece.
INS-0014,Instagram,2025-11-05 17:55:27,@CuratorMike889,521,Nice composition.
INS-0015,Instagram,2025-11-26 11:47:09,@PainterFan529,193,Nice composition.
INS-0016,Instagram,2025-11-22 01:36:49,@GalleryGazer261,1066,Nice composition.
INS-0017,Instagram,2025-11-16 21:25:03,@AbstractAddict538,1150,Great colors!
INS-0018,Instagram,2025-11-10 13:56:37,@ColorChaser531,841,Nice composition.
INS-0019,Instagram,2025-11-12 00:20:17,@ArtLover827,719,Nice!
INS-0020,Instagram,2025-11-10 23:58:12,@CuratorMike386,173,Stunning!
INS-0021,Instagram,2025-11-09 04:49:18,@PainterFan109,188,Stunning!
INS-0022,Instagram,2025-11-26 01:34:24,@PainterFan624,159,Love this!
INS-0023,Instagram,2025-11-07 09:00:41,@CollectorJane443,482,Love this!
INS-0024,Instagram,2025-11-08 08:08:46,@ColorChaser57,684,Stunning!
INS-0025,Instagram,2025-11-08 04:54:42,@GalleryGazer236,1040,Beautiful piece.
INS-0026,Instagram,2025-11-22 08:40:34,@CuratorMike239,174,Beautiful piece.
INS-0027,Instagram,2025-11-07 02:50:01,@ColorChaser861,957,Nice!
INS-0028,Instagram,2025-11-04 04:00:37,@CollectorJane191,409,Nice composition.
INS-0029,Instagram,2025-11-07 13:07:34,@ColorChaser597,1002,Wow!
INS-0030,Instagram,2025-11-21 10:21:41,@ColorChaser251,194,Stunning!
INS-0031,Instagram,2025-11-23 10:42:27,@ColorChaser347,605,Nice composition.
INS-0032,Instagram,2025-11-25 17:45:28,@AbstractAddict890,369,So cool 🔥
INS-0033,Instagram,2025-11-03 14:14:19,@AbstractAddict363,1172,Nice composition.
INS-0034,Instagram,2025-11-21 20:59:44,@DesignGeek398,418,So cool 🔥
INS-0035,Instagram,2025-11-12 16:29:33,@CollectorJane360,81,Beautiful piece.
INS-0036,Instagram,2025-11-14 00:11:27,@CuratorMike7,911,Amazing work!
INS-0037,Instagram,2025-11-23 21:15:41,@GalleryGazer280,562,Nice!
INS-0038,Instagram,2025-11-06 05:55:40,@ArtLover122,597,Amazing work!
INS-0039,Instagram,2025-11-28 14:40:20,@DesignGeek548,1078,Wow!
INS-0040,Instagram,2025-11-18 10:57:42,@CuratorMike700,503,This is awesome.
INS-0041,Instagram,2025-11-03 00:11:19,@CuratorMike564,813,Stunning!
INS-0042,Instagram,2025-11-09 10:22:08,@CuratorMike232,708,Amazing work!
INS-0043,Instagram,2025-11-22 07:40:51,@GalleryOwnerTX451,199,Love this!
INS-0044,Instagram,2025-11-26 11:27:42,@GalleryGazer523,300,Love this!
INS-0045,Instagram,2025-11-09 22:20:05,@GalleryOwnerTX661,548,Stunning!
INS-0046,Instagram,2025-11-29 16:18:38,@GalleryGazer98,405,This is awesome.
INS-0047,Instagram,2025-11-15 09:19:36,@ColorChaser640,787,Love this!
INS-0048,Instagram,2025-11-12 18:27:44,@ColorChaser686,311,Wow!
INS-0049,Instagram,2025-11-03 16:05:15,@GalleryOwnerTX871,773,Beautiful piece.
INS-0050,Instagram,2025-11-17 00:32:01,@GalleryGazer427,42,This is awesome.
INS-0051,Instagram,2025-11-19 20:57:48,@GalleryOwnerTX269,914,Amazing work!
INS-0052,Instagram,2025-11-20 14:07:54,@ArtLover513,837,Love this!
INS-0053,Instagram,2025-11-09 16:30:41,@ModernArtFan808,389,Stunning!
INS-0054,Instagram,2025-11-02 20:45:13,@AbstractAddict280,1025,Nice!
INS-0055,Instagram,2025-11-23 03:58:24,@CollectorJane66,401,Love this!
INS-0056,Instagram,2025-11-24 15:57:49,@ColorChaser709,1110,So cool 🔥
